zip_code,year,zori
10301,2017,
10301,2018,
10301,2019,
10301,2020,
10301,2021,
10301,2022,2134.9714833934504
10302,2015,
10302,2016,
10302,2017,
10302,2018,
10302,2019,
10302,2020,
10302,2021,
10302,2022,
10303,2015,
10303,2016,
10303,2017,
10303,2018,
10303,2019,
10303,2020,
10303,2021,
10303,2022,
10304,2015,
10304,2016,
10304,2017,
10304,2018,
10304,2019,
10304,2020,1890.8360450162666
10304,2021,1942.0823245151248
10304,2022,2097.9633725819494
10305,2015,
10305,2016,
10305,2017,
10305,2018,
10305,2019,
10305,2020,
10305,2021,
10305,2022,
10306,2015,
10306,2016,
10306,2017,
10306,2018,
10306,2019,
10306,2020,
10306,2021,
10306,2022,
10307,2015,
10307,2016,
10307,2017,
10307,2018,
10307,2019,
10307,2020,
10307,2021,
10307,2022,
10308,2015,
10308,2016,
10308,2017,
10308,2018,
10308,2019,
10308,2020,
10308,2021,
10308,2022,
10309,2015,
10309,2016,
10309,2017,
10309,2018,
10309,2019,
10309,2020,
10309,2021,
10309,2022,
10310,2015,
10310,2016,
10310,2017,
10310,2018,
10310,2019,
10310,2020,
10310,2021,
10310,2022,
10312,2015,
10312,2016,
10312,2017,
10312,2018,
10312,2019,
10312,2020,
10312,2021,1677.8973842224716
10312,2022,1743.9962724293462
10314,2015,
10314,2016,
10314,2017,
10314,2018,
10314,2019,
10314,2020,
10314,2021,2086.426814488479
10314,2022,2240.877241506433
10451,2015,
10451,2016,
10451,2017,
10451,2018,
10451,2019,
10451,2020,
10451,2021,
10451,2022,
10452,2015,
10452,2016,
10452,2017,
10452,2018,
10452,2019,
10452,2020,
10452,2021,
10452,2022,
10453,2015,
10453,2016,
10453,2017,
10453,2018,
10453,2019,
10453,2020,
10453,2021,
10453,2022,
10454,2015,
10454,2016,
10454,2017,
10454,2018,
10454,2019,
10454,2020,
10454,2021,
10454,2022,2763.529776957623
10455,2015,
10455,2016,
10455,2017,
10455,2018,
10455,2019,
10455,2020,
10455,2021,
10455,2022,
10456,2015,
10456,2016,
10456,2017,
10456,2018,
10456,2019,
10456,2020,
10456,2021,
10456,2022,
10457,2015,
10457,2016,
10457,2017,
10457,2018,
10457,2019,
10457,2020,
10457,2021,
10457,2022,
10458,2015,1433.3956468033566
10458,2016,1492.2409449953507
10458,2017,1611.8867698179395
10458,2018,1711.1133007729575
10458,2019,1780.4175592690972
10458,2020,1875.5454081521232
10458,2021,1926.624430300074
10458,2022,2030.6029022447153
10460,2015,
10460,2016,
10460,2017,
10460,2018,
10460,2019,
10460,2020,
10460,2021,
10460,2022,
10461,2015,
10461,2016,
10461,2017,1508.748399642759
10461,2018,1557.6489841160308
10461,2019,1659.3785787950046
10461,2020,1706.8556400842892
10461,2021,1759.7997064535546
10461,2022,1857.6736484795763
10462,2015,
10462,2016,
10462,2017,1432.5122729680425
10462,2018,1536.182119940651
10462,2019,1603.898491328937
10462,2020,1646.5714950855006
10462,2021,1721.8497009156645
10462,2022,1875.2506126385354
10463,2015,1968.2061767764383
10463,2016,2079.6479256388625
10463,2017,2187.6243017918746
10463,2018,2240.8997216309986
10463,2019,2287.720075549793
10463,2020,2353.5647461997173
10463,2021,2375.524851419674
10463,2022,2543.4219186395735
10465,2015,
10465,2016,
10465,2017,
10465,2018,
10465,2019,
10465,2020,
10465,2021,1797.9779696140965
10465,2022,1972.9667588378659
10466,2015,
10466,2016,
10466,2017,
10466,2018,
10466,2019,
10466,2020,
10466,2021,
10466,2022,
10467,2015,
10467,2016,1313.3160532249528
10467,2017,1403.6829850793558
10467,2018,1515.757540887367
10467,2019,1605.9781413090716
10467,2020,1682.1435897420863
10467,2021,1741.7452764082716
10467,2022,1880.3920994742166
10468,2015,
10468,2016,
10468,2017,
10468,2018,
10468,2019,
10468,2020,
10468,2021,
10468,2022,2054.041188870688
10469,2015,
10469,2016,
10469,2017,
10469,2018,
10469,2019,
10469,2020,
10469,2021,
10469,2022,2122.160187097711
10471,2015,
10471,2016,
10471,2017,
10471,2018,
10471,2019,
10471,2020,
10471,2021,
10471,2022,
10473,2015,
10473,2016,
10473,2017,
10473,2018,
10473,2019,
10473,2020,
10473,2021,
10473,2022,
10522,2015,
10522,2016,
10522,2017,
10522,2018,
10522,2019,
10522,2020,
10522,2021,
10522,2022,
10528,2015,
10528,2016,
10528,2017,
10528,2018,
10528,2019,
10528,2020,
10528,2021,
10528,2022,
10533,2015,
10533,2016,
10533,2017,
10533,2018,
10533,2019,
10533,2020,
10533,2021,
10533,2022,
10538,2015,
10538,2016,
10538,2017,
10538,2018,
10538,2019,
10538,2020,
10538,2021,
10538,2022,
10543,2015,
10543,2016,
10543,2017,
10543,2018,
10543,2019,
